Α,AlphaBulletCapDot,AlphaBulletCapPar,AlphaBulletDot,AlphaBulletPar,ArticleNo,Class,DigitBulletDot,DigitBulletPar,Filename,FirstPatternOffset,FirstWordInCapitalOffset,LongestMatchingPattern,MatchedPatternsCount,MatchingBigrams,MatchingUnigrams,OrgMatchingBigrams,OrgMatchingUnigrams,OrgPrediction,OrgTotalMatchingCharacters,PrevAlphaBulletCapDot,PrevAlphaBulletCapPar,PrevAlphaBulletDot,PrevAlphaBulletPar,PrevDigitBulletDot,PrevDigitBulletPar,RawParagraph,RawParagraphLength,RespAPrediction,StemmedParagraph,StemmedParagraphLength,SumMatchingEntries,SumMatchingEntriesLength,TotalMatchingCharacters,TotalMatchingRatio,TotalPrediction,UnqMatchedPatternsCount,UnqMatchingBigrams,UnqMatchingUnigrams,WordsInCapital
246,0,0,0,0,8,NoIdea,0,0,20080100070.pdf,0,21,13,7,3,4,0,2,Non-Org,12,0,0,0,0,0,0,"Με απόσπαση ή μετάταξη υπαλλήλων από τον ευρύτερο δημόσιο τομέα, όπως αυτός κάθε φορά οριοθετείται, που έχουν τα αντίστοιχα προσόντα. Η απόσπαση 
ή μετάταξη γίνεται με κοινή απόφαση του Υπουργού 
Πολιτισμού και του οικείου κατά περίπτωση Υπουργού, 
σύμφωνα με τις κείμενες διατάξεις.",283,RespA,ΜΕ ΑΠΟΣΠΑΣ ΜΕΤΑΤΑΞ ΥΠΑΛΛΗΛ ΕΥΡ ΔΗΜΟΣ ΤΟΜ ΦΟΡ ΟΡΙΟΘΕΤΕΙΤΑ ΑΝΤΙΣΤΟΙΧ ΠΡΟΣΟΝΤΑ. ΑΠΟΣΠΑΣ ΜΕΤΑΤΑΞ ΓΙΝ ΚΟΙΝ ΑΠΟΦΑΣ ΥΠΟΥΡΓ ΠΟΛΙΤΙΣΜ ΟΙΚΕΙ ΠΕΡΙΠΤΩΣ ΥΠΟΥΡΓ ΣΥΜΦΩΝ ΚΕΙΜΕΝ ΔΙΑΤΑΞΕΙΣ.,171,20,186,59,0.3450292398,RespA,5,3,2,4
247,0,0,0,0,8,NoIdea,0,0,20080100070.pdf,0,2,9,2,0,2,0,0,Non-Org,0,0,0,0,0,0,0,"ΠΕ Αρχαιολόγων (ειδικότητας Προϊστορικών−Κλασικών 
Αρχαιοτήτων).",64,Non-RespA,ΠΕ ΑΡΧΑΙΟΛΟΓ ΕΙΔΙΚΟΤΗΤ ΠΡΟΙΣΤΟΡ ΚΛΑΣ ΑΡΧΑΙΟΤΗΤ .,48,7,63,18,0.375,RespA,2,0,2,4
248,0,0,0,0,8,NoIdea,0,0,20080100070.pdf,0,2,9,1,0,1,0,0,Non-Org,0,0,0,0,0,0,0,Τμήμα Βυζαντινών και Μεταβυζαντινών Αρχαιοτήτων:,48,Non-RespA,ΤΜΗΜ ΒΥΖΑΝΤΙΝ ΜΕΤΑΒΥΖΑΝΤΙΝ ΑΡΧΑΙΟΤΗΤ,36,4,36,9,0.25,RespA,1,0,1,3
249,0,0,0,0,8,NoIdea,0,0,20080100070.pdf,0,2,9,2,0,2,0,0,Non-Org,0,0,0,0,0,0,0,ΠΕ Αρχαιολόγων (ειδικότητας Βυζαντινών−Μεταβυζαντινών Αρχαιοτήτων).,67,Non-RespA,ΠΕ ΑΡΧΑΙΟΛΟΓ ΕΙΔΙΚΟΤΗΤ ΒΥΖΑΝΤΙΝ ΜΕΤΑΒΥΖΑΝΤΙΝ ΑΡΧΑΙΟΤΗΤ .,56,7,63,18,0.3214285714,RespA,2,0,2,4
250,0,0,0,0,8,NoIdea,0,0,20080100070.pdf,0,2,9,4,1,3,0,0,Non-Org,0,0,0,0,0,0,0,Τμήμα Νεοτέρων Μνημείων: ΠΕ Ιστορικών της Τέχνης ή ΠΕ Αρχαιολόγων (ειδικότητας Βυζαντινών−Μεταβυζαντινών Αρχαιοτήτων).,118,Non-RespA,ΤΜΗΜ ΝΕ ΜΝΗΜΕΙ ΠΕ ΙΣΤΟΡ ΤΕΧΝ ΠΕ ΑΡΧΑΙΟΛΟΓ ΕΙΔΙΚΟΤΗΤ ΒΥΖΑΝΤΙΝ ΜΕΤΑΒΥΖΑΝΤΙΝ ΑΡΧΑΙΟΤΗΤ .,85,20,152,32,0.3764705882,RespA,4,1,3,10
251,0,0,0,0,8,NoIdea,0,0,20080100070.pdf,0,2,12,2,0,2,0,0,Non-Org,0,0,0,0,0,0,0,Τμήμα Παρακολούθησης και Καταγραφής: ΠΕ Αρχαιολόγων.,52,Non-RespA,ΤΜΗΜ ΠΑΡΑΚΟΛΟΥΘΗΣ ΚΑΤΑΓΡΑΦ ΠΕ ΑΡΧΑΙΟΛΟΓΩΝ.,42,77,848,20,0.4761904762,RespA,2,0,2,4
252,0,0,0,0,8,NoIdea,0,0,20080100070.pdf,0,2,9,1,0,1,0,0,Non-Org,0,0,0,0,0,0,0,Τμήμα Νομικής Τεκμηρίωσης: ΠΕ Διοικητικού (πτυχιούχο Νομικού Τμήματος).,71,Non-RespA,ΤΜΗΜ ΝΟΜ ΤΕΚΜΗΡΙΩΣ ΠΕ ΔΙΟΙΚΗΤ ΠΤΥΧΙΟΥΧ ΝΟΜ ΤΜΗΜ .,49,16,144,9,0.1836734694,RespA,1,0,1,6
253,0,0,0,0,8,NoIdea,0,0,20080100070.pdf,0,2,15,3,2,1,0,0,Non-Org,0,0,0,0,0,0,0,Τμήμα Διοικητικής και Οικονομικής Υποστήριξης:,46,Non-RespA,ΤΜΗΜ ΔΙΟΙΚΗΤ ΟΙΚΟΝΟΜ ΥΠΟΣΤΗΡΙΞ,30,62,612,36,1.2,RespA,3,2,1,3
254,0,0,0,0,8,NoIdea,0,0,20080100070.pdf,0,2,0,0,0,0,0,0,Non-Org,0,0,0,0,0,0,0,ΠΕ Διοικητικού.,15,Non-RespA,ΠΕ ΔΙΟΙΚΗΤΙΚΟΥ.,15,0,0,0,0,RespA,0,0,0,1
255,0,0,0,0,9,NoIdea,0,0,20080100070.pdf,0,3,9,13,0,13,0,4,Non-Org,26,0,0,0,0,0,0,"Χορήγηση αμοιβών Εύφημος Mνεία
1. Με κοινή απόφαση των Υπουργών Οικονομίας και 
Οικο νομικών, Πολιτισμού και Εσωτερικών καθορίζονται 
οι δικαιούχοι, οι προϋποθέσεις, τα κριτήρια υπολογισμού, η προθεσμία και η διαδικασία χορήγησης της 
χρηματικής αμοιβής σε όποιον συμβάλλει στην ανάκτηση μνημείων, τα οποία κατέχονται παρανόμως ή 
στην καταστολή των ποινικών αδικημάτων του ενάτου 
κεφαλαίου του ν. 3028/2002, όπως εκάστοτε ισχύει.",431,RespA,ΧΟΡΗΓΗΣ ΑΜΟΙΒ ΕΥΦΗΜ MΝΕΙΑ 1. ΚΟΙΝ ΑΠΟΦΑΣ ΥΠΟΥΡΓ ΟΙΚΟΝΟΜ ΟΙΚ ΝΟΜ ΠΟΛΙΤΙΣΜ ΕΣΩΤΕΡ ΚΑΘΟΡΙΖ ΔΙΚΑΙΟΥΧ ΠΡΟΥΠΟΘΕΣ ΚΡΙΤΗΡ ΥΠΟΛΟΓΙΣΜ ΠΡΟΘΕΣΜ ΔΙΑΔΙΚΑΣ ΧΟΡΗΓΗΣ ΧΡΗΜΑΤ ΑΜΟΙΒ ΣΥΜΒΑΛΛ ΑΝΑΚΤΗΣ ΜΝΗΜΕΙ ΚΑΤΕΧ ΠΑΡΑΝΟΜΩΣ ΚΑΤΑΣΤΟΛ ΠΟΙΝ ΑΔΙΚΗΜ ΕΝΑΤ ΚΕΦΑΛΑΙ Ν. 3028 2002 ΕΚΑΣΤΟΤ ΙΣΧΥΕΙ.,263,84,547,87,0.3307984791,RespA,11,0,11,8
256,0,0,0,0,9,NoIdea,1,0,20080100070.pdf,0,0,8,3,0,3,0,0,Org,0,0,0,0,0,1,0,"3. Χρηματική αμοιβή δεν καταβάλλεται όταν ο δικαιούχος έχει ήδη αμειφθεί με βάση άλλη διάταξη για την 
ίδια πληροφορία.",119,RespA,3. ΧΡΗΜΑΤ ΑΜΟΙΒ ΔΕΝ ΚΑΤΑΒΑΛΛ ΔΙΚΑΙΟΥΧ ΗΔΗ ΑΜΕΙΦΘ ΒΑΣ ΔΙΑΤΑΞ ΙΔΙ ΠΛΗΡΟΦΟΡΙΑ.,75,23,142,19,0.2533333333,RespA,3,0,3,0
257,0,0,0,0,9,NoIdea,1,0,20080100070.pdf,0,4,7,6,0,6,0,1,Non-Org,8,0,0,0,0,1,0,"4. Με απόφαση του Υπουργού Πολιτισμού είναι δυνατόν να απονέμεται, σε εξαιρετικές περιπτώσεις, εύφημος 
μνεία σε όποιον συμβάλλει στην ανάκτηση μνημείων ή 
στην πρόληψη και καταπολέμηση αδικημάτων του κεφαλαίου 9 του ν. 3028/2002, όπως εκάστοτε ισχύει.",252,RespA,4. ΑΠΟΦΑΣ ΥΠΟΥΡΓ ΠΟΛΙΤΙΣΜ ΔΥΝΑΤΟΝ ΑΠΟΝΕΜ ΕΞΑΙΡΕΤ ΠΕΡΙΠΤΩΣ ΕΥΦΗΜ ΜΝΕΙ ΣΥΜΒΑΛΛ ΑΝΑΚΤΗΣ ΜΝΗΜΕΙ ΠΡΟΛΗΨ ΚΑΤΑΠΟΛΕΜΗΣ ΑΔΙΚΗΜ ΚΕΦΑΛΑΙ 9 Ν. 3028 2002 ΕΚΑΣΤΟΤ ΙΣΧΥΕΙ.,156,44,282,40,0.2564102564,RespA,6,0,6,2
258,0,0,0,0,10,NoIdea,0,0,20080100070.pdf,0,2,6,1,0,1,0,0,Non-Org,0,0,0,0,0,0,0,"Κιβδηλεία Μνημείων
Η διάταξη του άρθρου 66 του ν. 3028/2002 γίνεται 
παράγραφος 1 και προστίθεται παράγραφος 2, η οποία 
έχει ως εξής:",134,Non-RespA,ΚΙΒΔΗΛΕΙ ΜΝΗΜΕΙ ΔΙΑΤΑΞ ΑΡΘΡ 66 Ν. 3028 2002 ΓΙΝ ΠΑΡΑΓΡΑΦ 1 ΠΡΟΣΤΙΘ ΠΑΡΑΓΡΑΦ 2,77,24,144,6,0.07792207792,RespA,1,0,1,2
259,0,0,0,0,11,NoIdea,0,0,20080100070.pdf,0,10,5,1,0,1,0,0,Non-Org,0,0,0,0,0,0,0,"Στο τέλος της παραγράφου 1 του άρθρου 187 του 
Ποινικού Κώδικα προστίθεται η ακόλουθη φράση:",92,Non-RespA,ΣΤ ΤΕΛ ΠΑΡΑΓΡΑΦ 1 ΑΡΘΡ 187 ΠΟΙΝ ΚΩΔΙΚ ΠΡΟΣΤΙΘ ΑΚΟΛΟΥΘ ΦΡΑΣ,58,5,25,5,0.08620689655,RespA,1,0,1,2
260,0,0,0,0,12,NoIdea,0,0,20080100070.pdf,0,3,0,0,0,0,0,0,Non-Org,0,0,0,0,0,0,0,"Άρση απορρήτου
Μετά την παράγραφο 1α του άρθρου 4 του ν. 2225/ 
1994 (ΦΕΚ 121 Α΄) προστίθεται παράγραφος 1β ως ακολούθως:",121,Non-RespA,ΑΡΣ ΑΠΟΡΡΗΤ ΠΑΡΑΓΡΑΦ 1Α ΑΡΘΡ 4 Ν. 2225 1994 ΦΕΚ 121 Α ΠΡΟΣΤΙΘ ΠΑΡΑΓΡΑΦ 1Β ΑΚΟΛΟΥΘΩΣ,83,0,0,0,0,RespA,0,0,0,3
261,0,0,0,0,13,NoIdea,0,0,20080100070.pdf,0,2,12,4,1,3,0,2,Non-Org,10,0,0,0,0,0,0,"Διεθνής Δικαιοδοσία Ελληνικών Δικαστηρίων Εφαρμοστέο Δίκαιο
1. Τα Ελληνικά Δικαστήρια έχουν αποκλειστική διεθνή 
δικαιοδοσία να εκδικάζουν διαφορές που αναφέρονται 
σε θέματα κυριότητας, νομής και κατοχής κινητών μνημείων κατά την έννοια του ν. 3028/2002.",255,RespA,ΔΙΕΘΝ ΔΙΚΑΙΟΔΟΣ ΕΛΛΗΝ ΔΙΚΑΣΤΗΡ ΕΦΑΡΜΟΣΤΕ ΔΙΚΑΙ 1. ΕΛΛΗΝ ΔΙΚΑΣΤΗΡ ΑΠΟΚΛΕΙΣΤ ΔΙΕΘΝ ΔΙΚΑΙΟΔΟΣ ΕΚΔΙΚΑΖ ΔΙΑΦΟΡ ΑΝΑΦΕΡ ΘΕΜ ΚΥΡΙΟΤΗΤ ΝΟΜ ΚΑΤΟΧ ΚΙΝΗΤ ΜΝΗΜΕΙ ΕΝΝΟΙ Ν. 3028 2002.,168,15,142,34,0.2023809524,RespA,3,1,2,8
262,0,0,0,0,13,NoIdea,1,0,20080100070.pdf,0,0,12,1,1,0,0,0,Org,0,0,0,0,0,1,0,"3. Οι διατάξεις του ν. 3028/2002 εφαρμόζονται 
ανεξαρτήτως του εφαρμοστέου στην ένδικη σχέση 
δικαίου, στην περίπτωση κατά την οποία η ένδικη σχέση αφορά σε κινητά μνημεία κατά την έννοια του ως 
άνω νόμου.",206,RespA,3. ΔΙΑΤΑΞ Ν. 3028 2002 ΕΦΑΡΜΟΖ ΑΝΕΞΑΡΤΗΤΩΣ ΕΦΑΡΜΟΣΤΕ ΕΝΔΙΚ ΣΧΕΣ ΔΙΚΑΙ ΠΕΡΙΠΤΩΣ ΕΝΔΙΚ ΣΧΕΣ ΑΦΟΡ ΚΙΝΗΤ ΜΝΗΜΕΙ ΕΝΝΟΙ ΝΟΜΟΥ.,120,8,96,12,0.1,RespA,1,1,0,0
263,0,0,0,0,13,NoIdea,1,0,20080100070.pdf,0,0,7,3,0,3,0,1,Non-Org,5,0,0,0,0,1,0,"4. Τα αδικήματα που προβλέπονται στις ποινικές διατάξεις του κεφαλαίου 9 του ν. 3028/2002, όπως εκάστοτε ισχύει, διώκονται και τιμωρούνται σύμφωνα με τους 
ελληνικούς ποινικούς νόμους ακόμη και στην περίπτωση 
που τελέσθηκαν στην αλλοδαπή.",239,RespA,4. ΑΔΙΚΗΜ ΠΡΟΒΛΕΠ ΠΟΙΝ ΔΙΑΤΑΞ ΚΕΦΑΛΑΙ 9 Ν. 3028 2002 ΕΚΑΣΤΟΤ ΙΣΧΥ ΔΙΩΚ ΤΙΜΩΡ ΣΥΜΦΩΝ ΕΛΛΗΝ ΠΟΙΝ ΝΟΜ ΠΕΡΙΠΤΩΣ ΤΕΛΕΣΘ ΑΛΛΟΔΑΠΗ.,124,16,112,21,0.1693548387,RespA,3,0,3,0
264,0,0,0,0,14,NoIdea,0,0,20080100070.pdf,0,2,17,4,2,2,0,2,Non-Org,14,0,0,0,0,0,0,"Συγκρότηση Διυπουργικής Επιτροπής
Α) Συγκροτείται Διυπουργική Επιτροπή για τον πολιτικό συντονισμό επί θεμάτων προστασίας πολιτιστικής 
κληρονομιάς, η οποία θα αποτελείται από τους:",181,RespA,ΣΥΓΚΡΟΤΗΣ ΔΙΥΠΟΥΡΓ ΕΠΙΤΡΟΠ Α ΣΥΓΚΡΟΤΕΙΤΑ ΔΙΥΠΟΥΡΓ ΕΠΙΤΡΟΠ ΠΟΛΙΤ ΣΥΝΤΟΝΙΣΜ ΘΕΜ ΠΡΟΣΤΑΣ ΠΟΛΙΤΙΣΤ ΚΛΗΡΟΝΟΜ ΑΠΟΤΕΛΕΙΤΑ,114,29,289,46,0.4035087719,RespA,4,2,2,6
265,0,0,0,0,14,NoIdea,0,1,20080100070.pdf,0,2,0,0,0,0,0,0,Non-Org,0,0,0,0,0,0,1,"2) Υπουργό Εσωτερικών ως μέλος, με αναπληρωτή 
τον Γενικό Γραμματέα Δημόσιας Τάξης.",83,Non-RespA,2 ΥΠΟΥΡΓ ΕΣΩΤΕΡ ΜΕΛ ΑΝΑΠΛΗΡΩΤ ΓΕΝΙΚ ΓΡΑΜΜΑΤ ΔΗΜΟΣ ΤΑΞΗΣ.,56,0,0,0,0,Irrelevant,0,0,0,5
266,0,0,0,0,14,NoIdea,0,1,20080100070.pdf,0,2,0,0,0,0,0,0,Non-Org,0,0,0,0,0,0,1,"3) Υπουργό Δικαιοσύνης ως μέλος, με αναπληρωτή τον 
Γενικό Γραμματέα του Υπουργείου Δικαιοσύνης.",96,Non-RespA,3 ΥΠΟΥΡΓ ΔΙΚΑΙΟΣΥΝ ΜΕΛ ΑΝΑΠΛΗΡΩΤ ΓΕΝΙΚ ΓΡΑΜΜΑΤ ΥΠΟΥΡΓΕΙ ΔΙΚΑΙΟΣΥΝΗΣ.,68,0,0,0,0,Irrelevant,0,0,0,5
267,0,0,0,0,15,NoIdea,0,0,20080100070.pdf,0,4,0,0,0,0,0,3,Non-Org,24,0,0,0,0,0,0,"Έναρξη λειτουργίας της Διεύθυνσης
1. Η έναρξη λειτουργίας της Διεύθυνσης ορίζεται με 
απόφαση του Υπουργού Πολιτισμού, η οποία δημοσιεύεται στην Εφημερίδα της Κυβερνήσεως.",171,Non-RespA,ΕΝΑΡΞ ΛΕΙΤΟΥΡΓ ΔΙΕΥΘΥΝΣ 1. ΕΝΑΡΞ ΛΕΙΤΟΥΡΓ ΔΙΕΥΘΥΝΣ ΟΡΙΖ ΑΠΟΦΑΣ ΥΠΟΥΡΓ ΠΟΛΙΤΙΣΜ ΔΗΜΟΣΙΕΥ ΕΦΗΜΕΡΙΔ ΚΥΒΕΡΝΗΣΕΩΣ.,109,0,0,0,0,RespA,0,0,0,7
268,0,0,0,0,15,NoIdea,1,0,20080100070.pdf,0,3,9,10,0,10,0,0,Org,0,0,0,0,0,1,0,"3. Η νέα Διεύθυνση συνεργάζεται και ενημερώνεται με 
στοιχεία που της παρέχει η Διεύθυνση Μουσείων Εκθέσεων και Εκπαιδευτικών Προγραμμάτων. Συνεργάζεται 
ομοίως με την Εφορεία Αρχαιοπωλείων και Ιδιωτικών 
Αρχαιολογικών Συλλόγων και τις αρμόδιες κατά τόπον 
Εφορείες Αρχαιοτήτων όποτε αυτό απαιτηθεί.",299,Non-RespA,3. ΝΕ ΔΙΕΥΘΥΝΣ ΣΥΝΕΡΓΑΖ ΕΝΗΜΕΡΩΝ ΣΤΟΙΧΕΙ ΠΑΡΕΧ ΔΙΕΥΘΥΝΣ ΜΟΥΣΕΙ ΕΚΘΕΣ ΕΚΠΑΙΔΕΥΤ ΠΡΟΓΡΑΜΜΑΤΩΝ. ΣΥΝΕΡΓΑΖ ΟΜΟΙΩΣ ΕΦΟΡΕΙ ΑΡΧΑΙΟΠΩΛΕΙ ΙΔΙΩΤ ΑΡΧΑΙΟΛΟΓ ΣΥΛΛΟΓ ΑΡΜΟΔ ΤΟΠΟΝ ΕΦΟΡΕΙ ΑΡΧΑΙΟΤΗΤ ΑΠΑΙΤΗΘΕΙ.,190,108,751,73,0.3842105263,Org,9,0,9,14
269,0,0,0,0,15,NoIdea,1,0,20080100070.pdf,0,8,9,2,0,2,0,1,Non-Org,8,0,0,0,0,1,0,"4. Από την ημερομηνία δημοσίευσης της απόφασης 
του Υπουργού Πολιτισμού που ορίζει την έναρξη της 
νέας Διεύθυνσης τροποποιούνται ή καταργούνται οι 
κατωτέρω διατάξεις:",168,Non-RespA,4. ΗΜΕΡΟΜΗΝ ΔΗΜΟΣΙΕΥΣ ΑΠΟΦΑΣ ΥΠΟΥΡΓ ΠΟΛΙΤΙΣΜ ΟΡΙΖ ΕΝΑΡΞ ΝΕ ΔΙΕΥΘΥΝΣ ΤΡΟΠΟΠΟ ΚΑΤΑΡΓ ΚΑΤΩΤΕΡ ΔΙΑΤΑΞ,97,8,69,17,0.175257732,Org,2,0,2,3
270,0,0,1,0,15,NoIdea,0,0,20080100070.pdf,0,0,0,0,0,0,0,0,Non-Org,0,0,0,1,0,0,0,"γ. Η περίπτωση 2 της παραγράφου 5 του άρθρου 44 
του π.δ. 191/2003 αντικαθίσταται ως εξής:",90,Non-RespA,Γ. ΠΕΡΙΠΤΩΣ 2 ΠΑΡΑΓΡΑΦ 5 ΑΡΘΡ 44 Π.Δ. 191 2003 ΑΝΤΙΚΑΘΙΣΤ,57,0,0,0,0,Irrelevant,0,0,0,0
271,0,0,1,0,15,NoIdea,0,0,20080100070.pdf,0,0,12,6,0,6,0,0,Non-Org,0,0,0,1,0,0,0,"ζ. η επάρκεια του προϋπολογισμού και του προγράμματος ανασκαφής, συντήρησης και δημοσίευσης των 
ευρημάτων, καθώς και οι πηγές χρηματοδότησης της 
ανασκαφής».",158,Non-RespA,Ζ. ΕΠΑΡΚΕΙ ΠΡΟΥΠΟΛΟΓΙΣΜ ΠΡΟΓΡΑΜΜ ΑΝΑΣΚΑΦ ΣΥΝΤΗΡΗΣ ΔΗΜΟΣΙΕΥΣ ΕΥΡΗΜ ΠΗΓ ΧΡΗΜΑΤΟΔΟΤΗΣ ΑΝΑΣΚΑΦ .,92,76,734,55,0.597826087,Irrelevant,5,0,5,0
272,0,0,0,0,16,NoIdea,0,0,20080100070.pdf,0,2,17,4,3,1,0,2,Non-Org,16,0,0,0,0,0,0,"Εξουσιοδότηση
Με απόφαση του Υπουργού Πολιτισμού μπορούν να 
ρυθμίζονται θέματα μεταφοράς αρχείων μεταξύ των 
υπηρεσιών, καθώς και σχέσεων της Διευθύνσεως με τις 
λοιπές υπηρεσίες του Υπουργείου Πολιτισμού και κάθε 
άλλη σχετική λεπτομέρεια.",241,RespA,ΕΞΟΥΣΙΟΔΟΤΗΣ ΑΠΟΦΑΣ ΥΠΟΥΡΓ ΠΟΛΙΤΙΣΜ ΡΥΘΜΙΖ ΘΕΜ ΜΕΤΑΦΟΡ ΑΡΧΕΙ ΥΠΗΡΕΣ ΣΧΕΣ ΔΙΕΥΘΥΝΣ ΛΟΙΠ ΥΠΗΡΕΣ ΥΠΟΥΡΓΕΙ ΠΟΛΙΤΙΣΜ ΣΧΕΤ ΛΕΠΤΟΜΕΡΕΙΑ.,129,44,343,48,0.3720930233,Irrelevant,4,3,1,6
273,0,0,0,0,17,NoIdea,0,0,20080100070.pdf,0,10,13,11,1,10,0,0,Non-Org,0,0,0,0,0,0,0,"Η αγωγή που ασκείται δυνάμει του άρθρου 5 της 
Σύμβασης UNIDROIT για τα κλαπέντα ή παρανόμως εξαχθέντα πολιτιστικά αγαθά υπάγεται στην αρμοδιότητα 
του Μονομελούς Πρωτοδικείου που δικάζει κατά την 
τακτική διαδικασία. Στο δικόγραφο της αγωγής αυτής 
πρέπει επί ποινή απαραδέκτου να περιλαμβάνεται κάθε 
πληροφορία, πραγματικής ή νομικής φύσης, η οποία 
μπορεί να επιτρέψει στο δικαστήριο να κρίνει εάν πληρούνται οι προϋποθέσεις των παραγράφων 1 έως 3 του 
ως άνω άρθρου.",471,RespA,Η ΑΓΩΓ ΑΣΚΕΙΤΑ ΔΥΝΑΜ ΑΡΘΡ 5 ΣΥΜΒΑΣ UNIDROIT ΚΛΑΠΕΝΤ ΠΑΡΑΝΟΜΩΣ ΕΞΑΧΘΕΝΤ ΠΟΛΙΤΙΣΤ ΑΓΑΘ ΥΠΑΓ ΑΡΜΟΔΙΟΤΗΤ ΜΟΝΟΜΕΛ ΠΡΩΤΟΔΙΚΕΙ ΔΙΚΑΖ ΤΑΚΤ ΔΙΑΔΙΚΑΣΙΑ. ΔΙΚΟΓΡΑΦ ΑΓΩΓ ΠΟΙΝ ΑΠΑΡΑΔΕΚΤ ΠΕΡΙΛΑΜΒΑΝ ΠΛΗΡΟΦΟΡ ΠΡΑΓΜΑΤ ΝΟΜ ΦΥΣ ΕΠΙΤΡΕΨ ΔΙΚΑΣΤΗΡ ΚΡΙΝ ΠΛΗΡ ΠΡΟΥΠΟΘΕΣ ΠΑΡΑΓΡΑΦ 1 3 ΑΡΘΡΟΥ.,265,101,678,75,0.2830188679,Irrelevant,10,1,9,5
274,0,0,0,0,17,NoIdea,0,0,20080100070.pdf,0,3,13,10,2,8,0,0,Non-Org,0,0,0,0,0,0,0,"Το αιτούν Συμβαλλόμενο Κράτος μπορεί ακόμα να 
ζητήσει τη λήψη ασφαλιστικών μέτρων κατά του νομέα 
ή του κατόχου. Ιδίως μπορεί να ζητήσει την ενέργεια, 
παράλειψη ή ανοχή ορισμένης πράξης από εκείνον, κατά 
του οποίου στρέφεται αίτηση, ή κάθε άλλο ασφαλιστικό 
μέτρο πρόσφορο για την εξασφάλιση ή διατήρηση του 
δικαιώματος ή τη ρύθμιση κατάστασης, όπως επίσης και 
την απαγόρευση πράξεων νομής ή κατοχής ή και την 
επιδίκαση σε αυτό της νομής του πολιτιστικού αγαθού 
κατά τις διατάξεις των άρθρων 731 έως 734 του Κώδικα 
Πολιτικής Δικονομίας.",544,RespA,ΤΟ ΑΙΤ ΣΥΜΒΑΛΛΟΜΕΝ ΚΡΑΤ ΖΗΤ ΛΗΨ ΑΣΦΑΛΙΣΤ ΜΕΤΡ ΝΟΜ ΚΑΤΟΧΟΥ. ΙΔΙΩΣ ΖΗΤ ΕΝΕΡΓΕΙ ΠΑΡΑΛΕΙΨ ΑΝΟΧ ΟΡΙΣΜΕΝ ΠΡΑΞ ΣΤΡΕΦ ΑΙΤΗΣ ΑΣΦΑΛΙΣΤ ΜΕΤΡ ΠΡΟΣΦΟΡ ΕΞΑΣΦΑΛΙΣ ΔΙΑΤΗΡΗΣ ΔΙΚΑΙΩΜ ΡΥΘΜΙΣ ΚΑΤΑΣΤΑΣ ΑΠΑΓΟΡΕΥΣ ΠΡΑΞ ΝΟΜ ΚΑΤΟΧ ΕΠΙΔΙΚΑΣ ΝΟΜ ΠΟΛΙΤΙΣΤ ΑΓΑΘ ΔΙΑΤΑΞ ΑΡΘΡ 731 734 ΚΩΔΙΚ ΠΟΛΙΤ ΔΙΚΟΝΟΜΙΑΣ.,276,98,731,83,0.3007246377,Irrelevant,9,2,7,6
275,0,0,0,0,17,NoIdea,0,0,20080100070.pdf,0,12,8,3,0,3,0,0,Non-Org,0,0,0,0,0,0,0,"Η αίτηση για τη λήψη ασφαλιστικών μέτρων υπάγεται στην αρμοδιότητα του Μονομελούς Πρωτοδικείου 
Αθηνών. Κατά της απόφασης του Μονομελούς Πρωτοδικείου επιτρέπεται έφεση ενώπιον του Εφετείου 
Αθηνών. Η έφεση δικάζεται κατά την ίδια διαδικασία, 
ενώ εφαρμόζονται αναλόγως και οι διατάξεις των παραγράφων 3 και 4 του άρθρου 734 του Κώδικα Πολιτικής 
Δικονομίας.",357,RespA,Η ΑΙΤΗΣ ΛΗΨ ΑΣΦΑΛΙΣΤ ΜΕΤΡ ΥΠΑΓ ΑΡΜΟΔΙΟΤΗΤ ΜΟΝΟΜΕΛ ΠΡΩΤΟΔΙΚΕΙ ΑΘΗΝΩΝ. ΑΠΟΦΑΣ ΜΟΝΟΜΕΛ ΠΡΩΤΟΔΙΚΕΙ ΕΠΙΤΡΕΠ ΕΦΕΣ ΕΝΩΠ ΕΦΕΤΕΙ ΑΘΗΝΩΝ. ΕΦΕΣ ΔΙΚΑΖ ΙΔΙ ΔΙΑΔΙΚΑΣ ΕΦΑΡΜΟΖ ΑΝΑΛΟΓΩΣ ΔΙΑΤΑΞ ΠΑΡΑΓΡΑΦ 3 4 ΑΡΘΡ 734 ΚΩΔΙΚ ΠΟΛΙΤ ΔΙΚΟΝΟΜΙΑΣ.,221,35,165,17,0.07692307692,Irrelevant,3,0,3,12
276,0,0,0,0,18,NoIdea,0,0,20080100070.pdf,0,0,0,0,0,0,0,0,Non-Org,0,0,0,0,0,0,0,"Η πρώτη παράγραφος της περίπτωσης ε΄ της παραγράφου 1 του άρθρου 2 του ν. 2557/1997 αντικαθίσταται 
ως εξής:",108,Non-RespA,Η ΠΡΩΤ ΠΑΡΑΓΡΑΦ ΠΕΡΙΠΤΩΣ Ε ΠΑΡΑΓΡΑΦ 1 ΑΡΘΡ 2 Ν. 2557 1997 ΑΝΤΙΚΑΘΙΣΤ,68,0,0,0,0,Irrelevant,0,0,0,0
